발생년도,경찰서,소계,살인,강도,절도,폭력
2016,광주북부서,3943,6,7,1788,2142
2016,광주광산서,3268,5,17,1247,1999
2016,광주남부서,1801,1,4,768,1028
2016,대전중부서,3729,3,6,1472,2248
2016,대전동부서,3022,7,7,1340,1668
2016,대전서부서,2291,1,5,1032,1253
2016,대전대덕서,1859,6,8,801,1044
2016,대전둔산서,2694,3,4,1085,1602
2016,대전유성서,2621,5,5,1253,1358
2016,울산남부서,4443,9,13,1509,2912
2016,울산중부서,3430,8,12,1183,2227
2016,울산울주서,2091,4,5,716,1366
2016,울산동부서,2101,1,3,809,1288
2016,경기수원중부서,4271,7,6,1585,2673
2016,경기수원남부서,5858,13,12,2538,3295
2016,경기수원서부서,3431,9,8,1511,1903
2016,경기안양동안서,2623,6,4,959,1654
2016,경기안양만안서,3112,4,3,1039,2066
2016,경기군포서,2258,1,3,838,1416
2016,경기성남수정서,2959,4,2,1193,1760
2016,경기성남중원서,3142,5,2,1211,1924
2016,경기분당서,3450,0,13,1566,1871
2016,경기부천소사서,2051,4,3,958,1086
2016,경기부천원미서,6299,8,13,2755,3523
2016,경기부천오정서,2003,5,1,762,1235
2016,경기광명서,3301,2,4,1221,2074
2016,경기안산단원서,5424,16,8,1994,3406
2016,경기안산상록서,3726,8,11,1294,2413
2016,경기시흥서,4666,15,9,1501,3141
2016,경기평택서,5660,10,8,1812,3830
2016,경기화성동부서,5075,10,2,1958,3105
2016,경기화성서부서,2511,8,3,932,1568
2016,경기용인동부서,4138,12,5,1496,2625
2016,경기용인서부서,2383,3,0,965,1415
2016,경기광주서,2686,13,4,880,1789
2016,경기과천서,463,1,1,160,301
2016,경기의왕서,805,2,1,234,568
2016,경기하남서,1323,3,0,529,791
2016,경기이천서,2135,1,2,634,1498
2016,경기김포서,2314,4,6,1007,1297
2016,경기안성서,1913,6,3,785,1119
2016,경기여주서,1142,7,0,448,687
2016,경기양평서,821,7,2,281,531
2016,경기의정부서,5094,13,17,1752,3312
2016,경기고양서,3194,4,8,1123,2059
2016,경기일산동부서,4032,7,3,1458,2564
2016,경기일산서부서,63,0,0,22,41
2016,경기남양주서,4896,10,9,1476,3401
2016,경기파주서,3387,5,4,1293,2085
2016,경기양주서,1772,2,2,446,1322
2016,경기동두천서,1074,1,0,344,729
2016,경기구리서,2486,6,1,936,1543
2016,경기포천서,1668,6,3,548,1111
2016,경기가평서,674,1,0,201,472
2016,경기연천서,379,2,0,143,234
2016,강원강릉서,2591,0,5,762,1824
2016,강원고성서,186,2,0,53,131
2016,강원동해서,886,3,2,178,703
2016,강원삼척서,812,2,0,225,585
2016,강원속초서,1329,0,5,392,932
2016,강원양구서,123,1,0,56,66
2016,강원영월서,221,1,0,69,151
2016,강원원주서,4261,7,2,1311,2941
2016,강원인제서,184,1,0,50,133
2016,강원정선서,455,3,2,240,210
2016,강원철원서,227,1,0,101,125
2016,강원춘천서,2946,6,5,1117,1818
2016,강원태백서,504,0,3,118,383
2016,강원평창서,278,0,0,120,158
2016,강원홍천서,626,0,3,203,420
2016,강원화천서,135,0,0,43,92
2016,강원횡성서,311,1,1,128,181
2016,충북괴산서,456,2,2,221,231
2016,충북단양서,229,0,0,91,138
2016,충북보은서,219,0,0,92,127
2016,충북영동서,249,3,0,98,148
2016,충북옥천서,299,0,2,108,189
2016,충북음성서,913,5,2,282,624
2016,충북제천서,1272,4,2,463,803
2016,충북진천서,755,3,1,280,471
2016,충북청주청원서,3050,5,7,1345,1693
2016,충북청주흥덕서,3636,2,6,1309,2319
2016,충북충주서,1832,8,0,783,1041
2016,충북청주상당서,2594,0,4,1058,1532
